State,County,Year,median_aqi,sample_weight,Median_Household_Income
Missouri,Cass,2025,41,0.8111111111111111,87535.0
Missouri,Cedar,2025,40,0.8222222222222222,48181.0
Missouri,Clay,2025,42,0.8111111111111111,88468.0
Missouri,Clinton,2025,43,0.5055555555555555,70627.0
Missouri,Greene,2025,44,0.8166666666666667,61479.0
Missouri,Jackson,2025,43,0.8388888888888889,68577.0
Missouri,Jasper,2025,42,0.8222222222222222,60694.0
Missouri,Jefferson,2025,40,0.8222222222222222,82851.0
Missouri,Lincoln,2025,42,0.5055555555555555,89278.0
Missouri,Monroe,2025,37,0.8222222222222222,54516.0
Missouri,Perry,2025,40,0.55,62981.0
Missouri,Stoddard,2025,21,0.0666666666666666,57957.0
Missouri,Taney,2025,26,0.0944444444444444,56497.0
Montana,Beaverhead,2025,12,0.9722222222222222,61268.0
Montana,Custer,2025,39,1.0,70605.0
Montana,Dawson,2025,14,1.0,71334.0
Montana,Fergus,2025,44,1.0,63706.0
Montana,Flathead,2025,40,1.0,73925.0
Montana,Gallatin,2025,14,1.0,93528.0
Montana,Glacier,2025,22,0.9277777777777778,46875.0
Montana,Hill,2025,13,0.8277777777777777,52798.0
Montana,Lake,2025,4,0.1111111111111111,63360.0
Montana,Lewis and Clark,2025,45,1.0,78237.0
Montana,Lincoln,2025,45,0.9777777777777776,47143.0
Montana,Missoula,2025,38,1.0,75598.0
Montana,Phillips,2025,18,0.95,53417.0
Montana,Powell,2025,6,0.0944444444444444,66923.0
Montana,Ravalli,2025,19,0.9666666666666668,71283.0
Montana,Richland,2025,39,1.0,73084.0
Montana,Roosevelt,2025,9,0.0944444444444444,57063.0
Montana,Rosebud,2025,4,0.1,49914.0
Montana,Sanders,2025,15,1.0,57476.0
Montana,Sheridan,2025,13,0.1055555555555555,70147.0
Montana,Silver Bow,2025,27,1.0,61754.0
Montana,Teton,2025,14,0.9611111111111112,70430.0
Montana,Yellowstone,2025,39,1.0,76570.0
Nebraska,Cass,2025,20,1.0,91836.0
Nebraska,Douglas,2025,44,1.0,80391.0
Nebraska,Gage,2025,36,1.0,67247.0
Nebraska,Hall,2025,37,1.0,69251.0
Nebraska,Knox,2025,39,1.0,64636.0
Nebraska,Lancaster,2025,36,0.5722222222222222,74793.0
Nebraska,Sarpy,2025,33,1.0,103321.0
Nebraska,Scotts Bluff,2025,24,1.0,63614.0
Nebraska,Thomas,2025,9,0.1055555555555555,65000.0
Nebraska,Washington,2025,29,1.0,94396.0
Nevada,Churchill,2025,43,0.9666666666666668,79163.0
Nevada,Clark,2025,64,1.0,76472.0
Nevada,Douglas,2025,22,0.9777777777777776,90754.0
Nevada,Elko,2025,19,0.8444444444444444,86487.0
Nevada,Lyon,2025,44,1.0,80812.0
Nevada,Nye,2025,24,1.0,60714.0
Nevada,Washoe,2025,51,1.0,88096.0
Nevada,White Pine,2025,47,1.0,72865.0
New Hampshire,Belknap,2025,34,1.0,92783.0
New Hampshire,Cheshire,2025,38,1.0,83329.0
New Hampshire,Coos,2025,40,1.0,57677.0
New Hampshire,Grafton,2025,38,1.0,88261.0
New Hampshire,Hillsborough,2025,38,1.0,103545.0
New Hampshire,Merrimack,2025,38,0.6777777777777778,97004.0
New Hampshire,Rockingham,2025,39,1.0,118331.0
New Jersey,Atlantic,2025,38,1.0,78050.0
New Jersey,Bergen,2025,40,1.0,124884.0
New Jersey,Camden,2025,44,1.0,88755.0
New Jersey,Cumberland,2025,42,0.9888888888888888,67436.0
New Jersey,Gloucester,2025,43,0.9666666666666668,105115.0
New Jersey,Hudson,2025,41,1.0,91795.0
New Jersey,Hunterdon,2025,41,0.9888888888888888,141715.0
New Jersey,Mercer,2025,43,1.0,100645.0
New Jersey,Middlesex,2025,36,0.9888888888888888,111549.0
New Jersey,Monmouth,2025,37,0.8055555555555556,124845.0
New Jersey,Morris,2025,38,1.0,137326.0
New Jersey,Ocean,2025,40,0.9944444444444444,89863.0
New Jersey,Passaic,2025,41,1.0,87522.0
New Jersey,Union,2025,45,1.0,103202.0
New Jersey,Warren,2025,38,0.9833333333333332,100869.0
New Mexico,Bernalillo,2025,59,1.0,69473.0
New Mexico,Catron,2025,8,0.1055555555555555,49864.0
New Mexico,Chaves,2025,16,0.1,52938.0
